,word,value
1,abandon,-2
2,abandoned,-2
3,abandons,-2
4,abducted,-2
5,abduction,-2
6,abductions,-2
7,abhor,-3
8,abhorred,-3
9,abhorrent,-3
10,abhors,-3
11,abilities,2
12,ability,2
13,aboard,1
14,aborted,-1
15,aborts,-1
16,absentee,-1
17,absentees,-1
18,absolve,2
19,absolved,2
20,absolves,2
21,absolving,2
22,absorbed,1
23,abuse,-3
24,abused,-3
25,abuses,-3
26,abusing,-3
27,abusive,-3
28,accept,1
29,acceptable,1
30,acceptance,1
31,accepted,1
32,accepting,1
33,accepts,1
34,accessible,1
35,accident,-2
36,accidental,-2
37,accidentally,-2
38,accidents,-2
39,acclaim,2
40,acclaimed,2
41,accolade,2
42,accomplish,2
43,accomplished,2
44,accomplishes,2
45,accomplishment,2
46,accomplishments,2
47,accusation,-2
48,accusations,-2
49,accuse,-2
50,accused,-2
51,accuses,-2
52,accusing,-2
53,ache,-2
54,achievable,1
55,aching,-2
56,acquit,2
57,acquits,2
58,acquitted,2
59,acquitting,2
60,acrimonious,-3
61,active,1
62,adequate,1
63,admire,3
64,admired,3
65,admires,3
66,admiring,3
67,admit,-1
68,admits,-1
69,admitted,-1
70,admonish,-2
71,admonished,-2
72,adopt,1
73,adopts,1
74,adorable,3
75,adoration,3
76,adore,3
77,adored,3
78,adores,3
79,adoring,3
80,adoringly,3
81,advanced,1
82,advantage,2
83,advantageous,2
84,advantageously,2
85,advantages,2
86,adventure,2
87,adventures,2
88,adventurous,2
89,adversary,-1
90,advisable,1
91,affected,-1
92,affection,3
93,affectionate,3
94,affectionateness,3
95,afflicted,-1
96,affordable,2
97,affronted,-1
98,aficionados,2
99,afraid,-2
100,aggravate,-2
101,aggravated,-2
102,aggravates,-2
103,aggravating,-2
104,aggression,-2
105,aggressions,-2
106,aggressive,-2
107,aggressiveness,-2
108,aghast,-2
109,agog,2
110,agonise,-3
111,agonised,-3
112,agonises,-3
113,agonising,-3
114,agonize,-3
115,agonized,-3
116,agonizes,-3
117,agonizing,-3
118,agree,1
119,agreeable,2
120,agreed,1
121,agreement,1
122,agrees,1
123,alarm,-2
124,alarmed,-2
125,alarmist,-2
126,alarmists,-2
127,alas,-1
128,alert,-1
129,alienation,-2
130,alive,1
131,allegation,-2
132,allegations,-2
133,allergic,-2
134,allow,1
135,ally,2
136,alone,-2
137,altruistic,2
138,amaze,2
139,amazed,2
140,amazes,2
141,amazing,4
142,ambitious,2
143,ambivalent,-1
144,amicable,2
145,amuse,3
146,amused,3
147,amusement,3
148,amusements,3
149,anger,-3
150,angered,-3
151,angers,-3
152,angry,-3
153,anguish,-3
154,anguished,-3
155,animosity,-2
156,annoy,-2
157,annoyance,-2
158,annoyed,-2
159,annoying,-2
160,annoys,-2
161,antagonistic,-2
162,anti,-1
163,anticipation,1
164,anxiety,-2
165,anxious,-2
166,apathetic,-3
167,apathy,-3
168,apeshit,-3
169,apocalyptic,-2
170,apologise,-1
171,apologised,-1
172,apologises,-1
173,apologising,-1
174,apologize,-1
