"","lang","word","sentiment","value"
"1","english","abba","positive",1
"2","english","ability","positive",1
"3","english","abovementioned","positive",1
"4","english","absolute","positive",1
"5","english","absolution","positive",1
"6","english","absorbed","positive",1
"7","english","abundance","positive",1
"8","english","abundant","positive",1
"9","english","academic","positive",1
"10","english","academy","positive",1
"11","english","acceptable","positive",1
"12","english","acceptance","positive",1
"13","english","accessible","positive",1
"14","english","accolade","positive",1
"15","english","accommodation","positive",1
"16","english","accompaniment","positive",1
"17","english","accomplish","positive",1
"18","english","accomplished","positive",1
"19","english","accomplishment","positive",1
"20","english","accord","positive",1
"21","english","accountability","positive",1
"22","english","accountable","positive",1
"23","english","accredited","positive",1
"24","english","accueil","positive",1
"25","english","accurate","positive",1
"26","english","ace","positive",1
"27","english","achieve","positive",1
"28","english","achievement","positive",1
"29","english","acknowledgment","positive",1
"30","english","acquire","positive",1
"31","english","acquiring","positive",1
"32","english","acrobat","positive",1
"33","english","action","positive",1
"34","english","actual","positive",1
"35","english","acuity","positive",1
"36","english","acumen","positive",1
"37","english","adapt","positive",1
"38","english","adaptable","positive",1
"39","english","addresses","positive",1
"40","english","adept","positive",1
"41","english","adequacy","positive",1
"42","english","adjunct","positive",1
"43","english","admirable","positive",1
"44","english","admiral","positive",1
"45","english","admiration","positive",1
"46","english","admire","positive",1
"47","english","admirer","positive",1
"48","english","admissible","positive",1
"49","english","adorable","positive",1
"50","english","adoration","positive",1
"51","english","adore","positive",1
"52","english","advance","positive",1
"53","english","advanced","positive",1
"54","english","advancement","positive",1
"55","english","advantage","positive",1
"56","english","advantageous","positive",1
"57","english","advent","positive",1
"58","english","adventure","positive",1
"59","english","adventurous","positive",1
"60","english","advisable","positive",1
"61","english","advise","positive",1
"62","english","adviser","positive",1
"63","english","advocacy","positive",1
"64","english","aesthetic","positive",1
"65","english","aesthetics","positive",1
"66","english","affable","positive",1
"67","english","affection","positive",1
"68","english","affiliated","positive",1
"69","english","affirm","positive",1
"70","english","affirmation","positive",1
"71","english","affirmative","positive",1
"72","english","affirmatively","positive",1
"73","english","affluence","positive",1
"74","english","affluent","positive",1
"75","english","afford","positive",1
"76","english","aga","positive",1
"77","english","agile","positive",1
"78","english","agility","positive",1
"79","english","agree","positive",1
"80","english","agreeable","positive",1
"81","english","agreed","positive",1
"82","english","agreeing","positive",1
"83","english","agreement","positive",1
"84","english","agriculture","positive",1
"85","english","ahead","positive",1
"86","english","aid","positive",1
"87","english","aiding","positive",1
"88","english","alabaster","positive",1
"89","english","alertness","positive",1
"90","english","alimentation","positive",1
"91","english","alive","positive",1
"92","english","allay","positive",1
"93","english","allegiance","positive",1
"94","english","allegro","positive",1
"95","english","alleviate","positive",1
"96","english","alleviation","positive",1
"97","english","allied","positive",1
"98","english","allowable","positive",1
"99","english","allure","positive",1
"100","english","alluring","positive",1
"101","english","ally","positive",1
"102","english","almighty","positive",1
"103","english","aloha","positive",1
"104","english","amazingly","positive",1
"105","english","ambassador","positive",1
"106","english","ambition","positive",1
"107","english","ameliorate","positive",1
"108","english","amen","positive",1
"109","english","amenable","positive",1
"110","english","amend","positive",1
"111","english","amends","positive",1
"112","english","amenity","positive",1
"113","english","amiable","positive",1
"114","english","amicable","positive",1
"115","english","amnesty","positive",1
"116","english","amour","positive",1
"117","english","amuse","positive",1
"118","english","amused","positive",1
"119","english","amusement","positive",1
"120","english","amusing","positive",1
"121","english","analyst","positive",1
"122","english","anchor","positive",1
"123","english","anchorage","positive",1
"124","english","angel","positive",1
"125","english","angelic","positive",1
"126","english","animate","positive",1
"127","english","animated","positive",1
"128","english","antibiotics","positive",1
